normalword,choice1,choice2,choice3,choice4,correct
กิน,ทรงวางพระราชดำริ,ทรงรับรอง,ทรงอ่าน,เสวย,เสวย
นั่ง,ทอดพระเนตร,รับสั่ง,ทรงพระดำริถึง,ประทับ,ประทับ
ตาย,จารึก,ทรงสอบ,สวรรคต,ทรงวางแผน,สวรรคต
เกิด,ทรงอ่าน,ประสูติ,ทรงเครื่อง,กราบทูล,ประสูติ
อาบน้ำ,ทรงรับรอง,ประทับ,สรง,ดำริ,สรง
นอน,ทรงประกอบพิธี,บรรทม,ทรงวางแผน,ทรงรักษา,บรรทม
เดินทาง,เสด็จ,ทรงนิพนธ์เพลง,ทรงวางแผน,ทรงสอบ,เสด็จ
พูด,ทรงสถาปนา,ตรัส,สรง,สดับพระบรรเลง,ตรัส
ให้,ประทับ,จารึก,พระราชทาน,ทรงช่วย,พระราชทาน
เจ็บป่วย,พระราชทานทรัพย์,ทรงเปิดงาน,บรรทม,ประชวร,ประชวร
ชื่อ,เข้าเฝ้าฯ,พระนาม,อภิเษกสมรส,ทรงวางพระราชดำริ,พระนาม
นามสกุล,พระนาม,พระราชทาน,ทรงสวดภาวนา,ราชสกุล,ราชสกุล
ถาม,ตรัสตอบ,ทูลถาม,ทรงศึกษา,ทรงมี,ทูลถาม
ตอบ,เสด็จขึ้น,เจรจา,ทรงชี้,ตรัสตอบ,ตรัสตอบ
เห็น,เสด็จขึ้น,ทรงพระราชนิพนธ์,ทอดพระเนตร,ทรงศึกษา,ทอดพระเนตร
กินยา,เสวยพระโอสถ,ทอดพระเนตร,เสด็จทางชลมารค,เสด็จมา,เสวยพระโอสถ
พักผ่อน,ทรงสอน,เสด็จกลับ,ทรงมี,บรรทม,บรรทม
ยิ้ม,กราบบังคมทูลขอ,ทรงสั่งสอน,แย้มพระโอษฐ์,ทรงศึกษา,แย้มพระโอษฐ์
ฟัง,ตรัส,ทรงรำ,สดับ,ทรงรับรอง,สดับ
นึก/คิด,ทอดพระเนตรชม,ทรงแสดง,ดำริ,เสด็จ,ดำริ
พูดคุย,ทรงกีฬา,เจรจา,ทรงสอบ,มีพระราชประกาศ,เจรจา
แต่งตัว,ทรงพระราชนิพนธ์,สดับ,ทรงเครื่อง,ทรงดูแล,ทรงเครื่อง
ออกกำลังกาย,ทรงวางแผน,ทรงกีฬา,สรง,ทรงเปิด,ทรงกีฬา
เขียน,ประทับ,ทรงพระราชนิพนธ์,จารึก,รับสั่ง,จารึก
เรียน,ทรงพระราชนิพนธ์,ทรงศึกษา,เสด็จพระราชดำเนิน,เสวยพระโอสถ,ทรงศึกษา
สอน,ทรงวางพระราชดำริ,ทรงพักฟื้น,ทรงสอน,ทรงเลือกตั้ง,ทรงสอน
นั่งรถ,เสด็จดำเนิน,ทรงศึกษา,เสด็จบรรทม,โดยเสด็จ,โดยเสด็จ
สั่ง,ทรงขับร้อง,สดับพระบรรเลง,ตรัสตอบ,มีพระบรมราชโองการ,มีพระบรมราชโองการ
รับ,ทรงเตรียม,รับสั่ง,กราบทูล,ทรงสอน,รับสั่ง
